"","GC_E18_2","GC_E18_3","GC_E18_4","GC_E18_5","GC_E18_6","GC_P0_1","GC_P0_2","GC_P0_3","GC_P0_4","GC_P0_5","GC_P0_6","GC_P3_1","GC_P3_2","GC_P3_3","GC_P3_4","GC_P3_5","GC_P3_6","GC_P6_1","GC_P6_2","GC_P6_3","GC_P6_4","GC_P6_5","GC_P6_6","GC_P9_1","GC_P9_2","GC_P9_3","GC_P9_4","GC_P9_5","GC_P9_6"
"Label","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9","P9"
"Stx1a","21.54469","21.33497","21.41515","21.41515","20.80481","22.45747","22.27738","22.01899","22.39282","21.21292","21.54945","19.90260","20.70014","19.36145","21.12263","20.89822","17.39907","22.40693","22.43105","21.92660","22.37933","21.89741","21.82088","22.35109","22.19673","22.10554","21.84371","22.94509","21.79893"
"Rps2","22.37933","22.31418","21.86021","22.57611","22.50433","21.10173","22.26593","20.86071","20.38660","21.50412","20.41952","25.54147","25.14815","25.22324","24.34979","25.91061","25.09717","22.37173","22.45747","22.58822","22.31418","22.37173","22.48292","22.70659","22.26593","23.23796","22.58822","22.14105","21.17670"
"Rpl3","21.30598","21.03201","20.95697","21.54469","20.86550","19.17122","20.56552","20.90483","19.57395","19.98233","21.30882","23.91029","24.23919","23.42883","24.26586","24.00718","24.34979","21.14218","21.22602","20.81988","21.16617","21.24909","21.47228","21.56197","22.01899","21.68038","21.61984","21.80482","23.39383"
"Rpl7","23.29628","22.50433","22.20564","23.01886","22.71628","20.37002","22.50433","19.94831","20.41178","20.06683","22.37173","24.66387","25.09717","24.81568","25.02561","24.97288","25.02561","21.24359","21.49039","21.49039","22.04546","21.98092","21.86021","22.19673","23.42883","22.51319","21.82088","22.22069","21.69790"
"Npepps","20.92297","21.04994","21.11363","21.15554","20.05499","21.54945","20.29038","20.54261","20.86071","17.07048","20.16190","19.45601","19.83007","17.44687","19.92539","19.32081","20.07307","21.55624","21.94522","21.77747","21.91814","22.12459","20.53809","21.54945","19.86546","19.44911","20.02045","19.21093","20.37478"
"Serbp1","21.22602","20.75624","20.37478","21.22057","20.18880","20.72878","19.84037","21.10173","21.49039","20.70531","20.30188","22.72633","22.34014","22.49364","22.36222","22.08514","22.43105","21.02111","20.65261","20.62623","20.04223","20.87114","20.97205","19.69402","19.40196","18.77768","19.67812","19.98233","19.88274"
"Eif3e","21.88020","21.93380","21.21292","22.51319","22.65957","22.93515","23.24972","22.76514","22.62777","23.73098","23.45905","20.07920","20.15570","20.24945","21.30598","19.91713","20.44849","20.02441","20.38660","21.67073","20.32309","20.98120","22.20564","21.66337","22.46732","22.71628","22.18833","21.86021","22.27738"
"Rplp2","21.66337","21.89741","21.66337","22.22069","21.47962","20.96765","21.91814","21.79070","16.96361","20.42672","20.72878","24.48560","23.45905","23.44427","23.42883","23.61678","23.91029","23.73098","23.28264","23.31487","23.45905","23.31487","22.90556","22.56226","22.15594","22.32727","21.81556","20.70014","20.38660"
"Mbp","20.02441","20.20846","19.52241","20.39386","20.45420","21.41515","21.62792","21.34865","16.96361","19.43702","20.76381","19.27243","19.23499","19.40633","19.21093","19.25783","19.27701","22.04546","21.83092","21.24909","21.86988","21.95215","21.53365","27.96384","28.31434","28.31434","28.31434","28.31434","28.31434"
"Camk2g","18.67038","18.90414","18.82823","19.23008","19.24392","16.22936","18.96696","17.63936","16.96361","19.66818","16.94984","19.31401","19.32958","19.28540","17.47046","19.27701","19.18629","18.81966","18.09004","18.89321","18.56263","19.44911","19.24392","18.80061","19.87269","18.90414","19.15867","16.45865","19.27992"
"Cand1","20.95697","20.98786","22.34014","20.51988","20.58704","20.46631","21.32809","20.16970","21.69790","21.42009","21.77747","21.22602","21.69790","21.51332","20.60075","19.97269","19.77651","20.22086","19.43001","20.38104","20.26067","19.53504","21.10173","20.15570","21.32809","21.04641","19.56145","20.93345","21.45160"
"Atp2b3","16.80146","15.41528","15.49309","15.15226","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.62017","15.20437","17.28440","18.93507","16.53008","18.91398","13.11983","15.66163","16.50828","15.23540","16.45865","16.29927"
"Dync1i2","20.80481","21.27672","21.15554","20.98120","20.65261","21.22602","20.40094","21.26213","20.85824","20.01389","19.61217","20.16190","20.08735","20.64333","20.22086","20.10109","20.50979","21.81556","21.76818","21.35516","21.77747","21.53365","21.65434","20.72275","19.56846","18.82489","18.51670","19.87269","20.77948"
"Nefm","17.10351","15.41528","17.10787","15.15226","17.32815","17.56664","16.90345","16.12607","16.96361","19.00338","19.02475","17.46424","17.46424","19.18629","17.47046","17.45309","17.39907","17.80368","17.34172","16.82355","17.10351","16.63983","16.77769","22.50433","22.31418","22.44780","21.65434","22.00020","21.18769"
"Rplp0","21.92660","21.43453","21.23385","22.19673","21.99434","20.94534","21.38114","21.68722","19.40633","20.86550","20.34849","23.32988","23.32988","22.97600","22.83681","23.11948","23.21334","22.46732","22.21308","21.96829","22.21308","22.29354","21.68038","22.34014","21.59757","22.29354","21.67073","20.70531","20.98786"
"Prkacb","21.69790","21.72312","21.18769","22.54699","22.07521","22.13300","21.79893","21.83092","22.44004","21.59757","21.12263","19.99684","19.27055","20.13702","19.91713","20.18358","20.21411","21.63448","21.38114","21.22602","21.53365","21.42679","20.93345","20.40094","21.54945","20.60576","20.62208","20.74182","19.80605"
"Tnr","14.56489","16.91477","16.75306","15.15226","17.02933","18.34637","17.97373","17.81695","16.96361","17.07048","18.75660","19.44429","17.46424","17.44687","19.49752","17.45309","17.39907","18.82489","18.07308","19.10773","18.06377","17.25945","16.84555","20.64333","20.88933","21.25297","22.00020","20.79144","20.07307"
"Tpi1","22.56226","22.52657","22.60278","22.50433","23.29628","22.50433","22.81324","22.65957","22.02631","22.15594","22.04546","22.03731","21.95215","22.10554","21.86988","21.58472","21.50033","22.13300","22.83681","22.70659","22.48292","21.92660","21.64754","23.54756","22.85531","23.48110","23.79142","22.35109","21.56904"
"Actr2","22.83681","22.72633","22.64942","21.98092","22.44780","19.98552","22.37933","19.86546","21.70348","21.83092","21.56904","20.61716","21.83766","21.77747","21.34865","21.55624","21.68722","22.52657","22.85531","21.63448","22.24687","22.75162","22.25656","21.64754","21.73328","21.94522","22.49364","20.13181","19.93105"
"Cap1","19.78708","20.51988","19.38671","19.45601","19.83411","19.15867","20.16527","19.32401","18.89321","17.07048","19.37401","20.68744","20.64333","21.02646","21.11363","20.54261","21.04641","20.51988","20.21411","20.23261","20.08735","19.89112","20.00493","20.76381","21.14218","20.27791","20.93345","21.59757","21.00421"
"Eif4a2","18.83463","18.02930","17.89002","18.78579","18.60977","16.22936","19.88642","17.90232","20.71048","19.49752","20.87484","17.46424","17.46424","17.44687","17.47046","19.87754","17.39907","18.17753","17.79917","16.72388","17.08180","16.35187","17.73683","19.57395","18.46022","20.51988","20.22086","20.87114","20.57833"
"Rpl10a","19.89112","19.76523","19.36583","21.39569","20.07920","17.87950","20.49065","16.12607","20.74995","19.23499","16.94984","22.89579","22.32727","22.42061","22.94509","22.92114","23.00513","20.18880","19.98552","20.68744","20.53809","20.78593","21.15554","20.91788","21.13179","21.00421","21.83766","18.71854","19.11786"
"Negr1","21.80482","21.98092","22.37173","21.93380","22.31418","22.37173","22.64942","21.56904","21.51332","21.99434","21.70348","19.56846","19.44911","19.55690","20.23261","19.82317","20.34071","21.75754","21.71159","21.28949","20.86550","21.53985","21.07721","20.43582","19.97666","20.94534","20.60075","20.76381","19.99684"
"Mapre1","22.72633","22.75162","22.49364","22.13300","23.11948","21.42009","22.65957","21.80482","22.89579","22.44780","22.92114","21.24909","22.30250","22.08514","22.23269","22.13300","22.15594","21.82088","21.68722","21.83766","21.60611","21.68038","22.22069","21.80482","22.21308","22.48292","21.45160","21.72312","22.70659"
"Syp","20.54805","21.25297","21.16617","21.24909","20.87114","20.10109","21.75197","22.18833","20.97747","22.02631","21.07166","19.66818","19.50724","20.08735","20.27791","20.13702","20.29644","20.78593","20.44212","20.91058","20.94028","21.22602","20.51988","21.93380","22.54699","21.77747","23.03101","22.16226","21.54469"
"Lsamp","23.23796","23.42883","23.13485","23.28264","23.13485","23.71670","23.29628","23.44427","23.94235","24.23919","23.69025","22.19673","22.11457","22.18833","22.28634","22.03731","22.26593","23.08408","23.00513","22.83681","23.31487","23.06784","23.54756","23.32988","23.34424","22.87087","22.87087","23.41118","22.54699"
"Nfasc","22.24687","22.00921","21.92660","21.84371","22.00020","20.96286","21.65434","20.68744","20.10784","22.34014","22.67317","17.46424","17.46424","19.21093","19.44429","17.45309","17.39907","21.92660","23.20028","22.29354","22.57611","22.14105","22.34014","22.31418","22.83681","22.63832","21.69790","22.23269","21.93380"
"Ppp3ca","20.91058","20.96286","21.01657","20.27791","20.47899","19.89634","21.26213","18.66544","18.84996","20.41178","19.85097","21.29933","21.57602","20.49576","21.45160","17.45309","21.45749","20.98120","20.97747","20.93345","20.69536","20.95697","21.14218","22.40693","22.32727","22.78663","23.00513","22.29354","21.41194"
"Atp2b4","16.271202","15.415283","17.156431","16.462454","17.321944","18.305321","15.617022","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","17.029330","16.485955","16.863952"," 6.848008","13.761077","17.142669","18.860289","17.639360","17.828118","17.898126","16.458650","16.299267"
"Prkaca","19.98552","19.72870","20.65261","20.11454","20.24945","20.81648","19.22235","20.38660","20.38990","17.07048","20.70531","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.77237","20.51988","19.63692","20.18358","20.88933","19.50293","19.72870","19.52241","19.13349","19.93856","21.32809","21.02646"
"Gm20390","22.67317","22.90556","22.93515","22.62777","22.68458","22.57611","23.48110","22.97600","23.24972","23.66273","23.75876","23.94235","23.06784","22.95782","23.34424","23.31487","23.34424","22.79950","22.75162","22.97600","22.18833","22.90556","23.16576","22.52657","22.64942","22.46732","23.66273","22.42061","22.26593"
"Ptprs","18.01139","17.55421","18.53070","19.00338","19.41212","18.25218","17.55421","19.32958","16.96361","17.07048","19.46540","19.61939","17.46424","17.44687","17.47046","17.45309","17.39907","19.36145","19.01966","18.48909","17.41473","18.33303","17.97373","16.61089","17.36269","19.30365","18.11969","18.20107","18.07308"
"Map6","21.42009","21.30882","21.29933","20.76381","20.69536","21.14803","20.70014","21.86988","20.98786","20.96286","20.92841","21.35516","20.16527","19.70566","21.04641","20.97205","20.99555","21.49039","21.61984","21.30598","21.07721","21.51332","20.75624","21.99434","20.24657","20.20545","21.51931","20.18358","20.63760"
"Rps17","20.02045","20.16190","19.85861","21.22602","20.24657","20.70531","19.84557","20.42672","19.43001","20.80481","20.54261","22.25656","22.83681","22.65957","22.60278","22.26593","22.83681","21.04994","20.99555","21.03201","21.12263","21.13179","20.94028","20.94534","20.77948","20.72878","20.72878","20.71619","20.71048"
"Scrn1","20.89822","20.72878","20.84687","20.62623","20.25385","21.51931","21.00421","21.59757","20.56552","20.08256","21.71159","20.38660","20.43582","19.32958","19.93105","20.38990","20.16527","21.68038","21.19341","21.20047","21.44549","21.38600","20.92841","21.68038","20.44849","20.53809","20.84687","21.62792","20.81648"
"Hsph1","19.05843","18.15079","18.23329","17.52024","19.15867","16.22936","18.22220","18.23329","19.76111","17.07048","19.49255","17.46424","17.46424","17.44687","19.28540","17.45309","17.39907","19.96870","19.70999","19.87754","19.06240","19.21093","19.47231","19.29896","18.04051","19.76523","20.24657","19.68679","19.70566"
"Unknown1","21.43453","21.07166","20.86071","22.70659","21.21292","20.16527","19.44429","21.13570","21.94522","19.32081","19.83007","17.46424","19.25783","19.30365","17.47046","20.16190","20.36633","20.67281","19.70043","19.56662","21.34865","20.63760","20.04223","18.89550","18.99729","17.86558","18.48033","20.02045","17.55421"
"Pfkp","16.715598","15.415283","15.493092","15.152258","15.760376","17.432357","15.617022","16.126067","18.391838","19.396722","19.285402","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","17.375299","14.129291","15.718734","17.908490"," 6.848008"," 6.848008","20.578331","19.891119","21.148028","20.148386","18.093476","19.182888"
"Prkcb","19.53740","18.32013","19.35749","19.60710","17.33248","19.04958","19.61939","17.98083","20.99555","20.70014","21.22057","17.46424","17.46424","17.44687","19.64804","17.45309","17.39907","20.00493","19.83007","20.15570","20.19349","19.97666","19.62610","22.11457","22.18833","23.13485","22.11457","22.79950","22.00020"
"Aco2","19.51799","20.40570","20.26466","19.46144","19.05843","21.15554","21.29933","21.67073","20.93345","21.01657","20.64874","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.31361","20.70531","20.34540","21.02111","20.63155","20.91058","22.05427","21.08568","21.26213","21.11363","20.86550","22.83681"
"Gsn","17.62452","17.84303","18.07676","16.45484","15.76038","19.32081","17.26860","18.86661","20.16190","17.07048","19.50293","19.98233","17.46424","19.75600","17.47046","17.45309","17.39907","18.05543","15.92083","18.78579","18.50152","18.23041","13.90130","21.95762","22.58822","22.83681","22.28634","22.50433","23.31487"
"Ddx1","20.05993","20.24274","20.39386","20.32780","20.04223","18.36242","20.68183","18.48508","20.68183","20.63760","19.20034","21.55624","21.75197","21.47962","20.92841","20.68183","20.74182","18.71854","19.10213","19.34950","18.98146","19.14319","19.70043","18.78887","19.75059","20.24274","19.95233","20.50021","20.37002"
"Bcas1","17.81240","19.39672","18.99729","18.92066","18.01976","17.72762","17.74877","19.20612","19.08802","19.67490","16.94984","17.46424","17.46424","17.44687","19.85861","17.45309","17.39907","18.85408","16.61780","16.03613","18.33691","18.59186","16.68958","23.52969","22.04546","20.59288","22.70659","22.04546","21.39569"
"Kif5b","17.14267","18.11969","18.21654","16.54958","18.06865","16.22936","16.84555","18.61941","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.54104","18.57132","17.94808","15.76038","18.26138","17.62017","18.18456","17.74877","18.88364","18.33691","17.87950","16.29927"
"Hectd4","23.69025","23.16576","23.42883","23.31487","23.08408","23.80862","22.15594","23.03101","21.91814","20.49065","20.40570","17.46424","19.79110","17.44687","17.47046","17.45309","17.39907","21.56197","22.56226","21.95215","21.74633","22.32727","22.35109","21.76818","19.53504","17.84303","20.86071","21.38114","20.09362"
"Psmd13","21.18769","20.88933","21.74633","22.89579","21.32202","19.29446","19.67490","20.43582","21.18138","20.21411","20.56552","19.35366","20.83045","19.29896","19.27243","20.32780","19.39160","18.68694","19.52241","19.75059","18.61483","20.37478","19.70566","19.07590","20.36633","18.71508","20.44212","20.94534","21.68038"
"Psmb5","22.63832","22.09833","22.77494","22.24687","21.71159","20.39386","21.22602","21.38114","19.96174","20.98786","21.65434","21.54945","21.00853","20.66773","21.36460","21.32202","19.85861","21.32202","22.44004","22.57611","21.95215","22.35109","21.95215","21.44549","20.61073","20.68744","20.16190","19.77078","19.87269"
"Psmb2","21.77747","21.54469","21.80482","21.71159","22.57611","21.84371","20.97205","20.30803","21.30598","20.88217","21.37194","20.34071","19.97666","20.55482","20.60576","20.02441","20.44212","19.73860","21.14803","21.42679","20.39386","21.29933","21.07166","20.85824","21.03878","21.49039","21.21292","21.88020","21.67073"
"Atp6v1e1","21.96829","21.19341","21.44549","22.21308","21.25297","21.93380","21.74633","21.95762","21.68038","21.32202","21.79893","21.58472","22.01899","21.74633","19.27055","22.07521","21.72312","23.29628","22.97600","22.92114","22.92114","22.48292","22.50433","22.78663","23.31487","22.18833","23.01886","21.88752","21.83092"
"Prkcg","17.98083","17.77386","17.52024","18.01139","18.56699","16.22936","19.34950","19.79110","16.96361","18.62767","16.94984","20.24274","20.45420","17.44687","20.25385","21.04641","20.64874","18.25838","19.92539","20.82518","19.28949","20.83045","19.64804","21.26863","22.40693","21.91073","21.75197","21.95762","22.76514"
"Marcksl1","23.88555","23.91029","24.19309","23.52969","23.75876","23.73098","23.54756","23.75876","23.61678","24.06793","23.56942","23.29628","22.97600","23.20028","23.66273","22.99564","22.95782","24.70272","24.70272","24.34979","24.23919","24.34979","24.11541","23.04418","22.81324","19.04437","21.68722","20.86071","20.65909"
"Got1","18.46022","18.27775","18.45391","19.34950","18.43143","19.03401","19.75600","18.29882","16.96361","17.07048","18.46624","20.85824","20.80481","20.86550","19.31401","20.50979","20.94028","15.05490","15.46436","15.18681","14.15944","16.57104","14.31439","22.26593","22.68458","22.65957","22.52657","21.76818","22.19673"
"Nap1l4","20.35308","20.50979","20.55482","21.72312","20.46005","20.03051","20.70531","21.00853","20.22086","19.15867","16.94984","19.96870","19.89112","19.94831","20.16527","19.64804","19.72870","19.50293","19.11786","19.30826","19.81198","19.70999","19.15867","18.66003","19.35749","19.64365","18.74926","20.23261","20.47015"
"Farp1","20.40570","20.58220","20.31997","20.94028","20.30188","21.79893","20.69536","21.51332","21.39569","21.56197","20.77948","19.57395","19.44097","19.65677","19.46540","19.79110","19.61939","21.35994","20.80481","20.67717","20.91058","20.77948","20.72275","17.71644","15.66163","18.21654","17.88258","18.39850","19.37401"
"Npm1","21.68038","21.18769","21.41194","21.79070","21.53985","22.65957","22.05427","22.37933","22.40693","21.95215","22.14105","23.69025","23.61678","23.00513","23.71670","22.93515","23.52969","19.70566","21.00853","20.25385","21.17670","21.08568","21.56904","19.73487","18.39850","20.74182","20.33492","21.91814","21.50412"
"Pebp1","23.14783","23.31487","23.03101","22.79950","23.36175","22.85531","23.56942","23.11948","23.21334","23.29628","23.64399","22.94509","22.78663","22.99564","23.04418","22.79950","23.38328","23.11948","23.13485","22.56226","22.93515","23.28264","23.38328","23.11948","23.32988","23.61678","23.75876","22.85531","22.29354"
"Atp5f1a","21.03878","21.09500","20.44849","20.47015","20.23766","22.62777","22.52657","22.77494","22.10554","21.31524","21.32202","21.14803","17.46424","17.44687","17.47046","19.69402","17.39907","22.03731","21.93380","21.53365","21.91073","21.91814","21.61984","22.37933","21.98092","21.53365","22.34014","22.28634","22.24687"
"Rhoa","22.60278","22.79950","22.67317","22.56226","22.16226","22.94509","22.44780","22.85531","23.13485","22.92114","22.77494","21.54469","20.38660","20.24274","20.50979","20.58220","20.88217","22.45747","22.95782","22.08514","21.93380","22.31418","22.61579","21.59757","22.09833","22.07044","22.19673","23.08408","21.98092"
"Fxyd6","22.26593","22.15594","22.51319","22.12459","23.64399","23.21334","22.45747","21.99434","22.22069","22.60278","21.47228","17.46424","17.46424","19.95233","17.47046","17.45309","17.39907","21.67073","21.37194","21.07721","21.20047","21.26863","21.51931","20.07307","20.71048","20.05993","20.68744","20.57240","20.62208"
"Psmc4","21.41194","21.00853","21.45160","20.95697","20.54805","19.43702","20.85824","20.20846","22.12459","18.96696","19.89112","20.94028","21.11363","20.39386","21.54945","21.19341","21.43453","20.20545","19.87754","19.15404","19.58586","19.60710","19.84037","19.76111","20.54805","19.31401","20.98120","21.35994","20.69536"
"Gm11361","22.53462","22.23269","22.31418","22.81324","22.99564","21.77747","22.36222","21.63448","21.59757","21.79070","22.56226","24.23919","24.34979","23.91029","23.88555","23.91029","23.73098","23.56942","22.77494","22.78663","22.99564","22.72633","23.61678","22.76514","22.02631","21.89741","22.13300","21.75197","20.40094"
"Sv2a","20.87484","20.80481","20.98786","20.75624","20.65909","22.20564","20.22436","21.56197","22.94509","20.66773","21.59029","20.35308","20.13926","20.84149","20.62208","19.55145","19.68679","20.79144","19.72207","19.56145","20.47015","20.18880","20.84687","21.19341","20.60075","20.95697","21.63448","21.85199","21.83766"
"Actr1b","14.564894","15.415283","15.493092","17.653603","15.760376","16.229362","15.617022","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","15.304318","16.635117","17.236042"," 6.848008"," 6.848008","16.949836","18.700579","18.349939","16.508282","15.235399","16.458650","18.237584"
"Dctn2","21.10173","21.10173","21.38600","20.77948","21.26863","21.44549","21.13179","20.64874","16.96361","17.07048","16.94984","20.94534","20.55896","21.24359","20.78593","20.83045","20.13926","21.43453","21.02111","20.78593","21.31524","21.00421","20.86550","20.63760","19.64365","19.88642","20.04223","19.97666","18.91124"
"Rps5","21.86988","20.91788","20.42672","22.45747","21.15554","20.64874","21.10173","21.16617","19.55690","19.24861","19.06240","23.11948","23.24972","23.73098","23.20028","22.70659","23.08408","20.42672","20.40094","19.47231","21.32809","21.26213","20.99555","20.92297","21.26213","20.94028","21.68038","20.83714","19.40196"
"Rps4x","21.84371","22.43105","21.86988","22.10554","22.40693","20.24657","22.18833","20.84149","21.29933","20.81034","20.75624","24.30285","23.88555","23.94235","24.30285","23.88555","23.79142","22.18833","22.40693","22.79950","22.39282","22.18833","22.12459","22.06233","22.05427","21.32809","22.60278","20.84687","21.09500"
"Elp1","19.36145","19.93105","19.83411","18.88967","21.18138","16.22936","15.61702","16.12607","16.96361","17.07048","19.48289","19.54138","17.46424","17.44687","19.35749","19.32958","17.39907","18.99918","19.20034","18.62767","18.97252","19.35366","19.31401","13.11983","18.24837","16.50828","17.25053","16.45865","16.29927"
"Gnb4","19.44429","17.87950","19.83007","19.76111","20.14354","19.32401","19.79999","19.75059","18.56263","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.50724","19.43702","19.70566","20.03051","19.34303","19.89112","20.12624","19.08802","19.42548","19.85097","19.60710","21.62792"
"Ppp1cb","20.07920","20.54261","20.97205","20.97747","21.00853","20.31997","21.47962","20.10109","21.13570","21.61984","21.96829","19.51467","19.44429","17.44687","19.29896","17.45309","17.39907","20.89822","20.96286","21.43453","20.72275","20.88217","20.67281","20.77948","21.14803","21.41515","20.75624","21.31524","20.38990"
"Rpl5","21.24909","20.63760","20.70531","21.63448","19.50293","20.34071","20.38104","21.19341","20.03051","20.10109","20.67717","22.54699","22.74305","23.06784","22.76514","22.68458","23.06784","21.37194","21.41194","21.17670","21.09500","21.35516","20.79144","21.42009","21.83092","20.97205","21.60611","21.20047","20.51988"
"Wdr1","20.45420","20.50021","20.52636","20.27355","20.95697","17.55421","21.15554","19.78708","20.18358","19.77078","19.72870","20.65909","19.89634","19.24861","19.36908","20.92841","19.62610","20.32780","19.97666","20.34071","18.36851","19.75600","19.06779","20.55482","21.74633","21.95215","20.94534","21.21292","20.81988"
"Cdc42","23.79142","23.75876","23.69025","23.84364","23.88555","23.91029","23.61678","23.71670","23.29628","22.99564","22.99564","20.67281","20.52636","21.16617","20.80481","20.44212","20.84149","23.50334","23.41118","23.34424","23.01886","23.45905","23.44427","23.23796","23.71670","22.74305","23.88555","22.90556","23.14783"
"Arf1","14.56489","17.97106","17.47404","17.41473","15.76038","17.53049","19.63079","18.46624","19.08209","20.82518","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.06536","16.57104","18.32252","18.53809","18.51670","18.69644","18.49733","19.17914","19.24861","20.02739","21.14803","21.47228"
"Ldhb","21.95215","21.63448","21.77747","22.00921","20.76381","22.07044","21.96829","21.94522","21.19341","19.87015","21.00421","20.18880","20.12624","19.96870","19.80605","17.45309","20.52636","22.29354","22.11457","22.44004","22.32727","22.30250","22.44780","23.58888","23.69025","22.31418","23.80862","23.36175","23.20028"
"Vars","18.854077","18.961424","19.075896","19.982326","21.101731","18.055434","18.090043","20.205454","16.963611","17.070477","16.949836","19.761113","17.464240","17.446873","17.470465","17.453089","17.399074","18.415684","18.190775","18.904144"," 6.848008","18.242905"," 6.848008","17.466884","15.661630","16.508282","17.438965","16.458650","18.665437"
"Arf3","22.46732","22.64942","22.68458","21.99434","22.72633","22.02631","23.26437","22.13300","22.74305","22.56226","23.28264","19.52938","19.61939","19.79110","19.23894","20.47899","19.14319","22.74305","22.63832","23.11948","22.97600","22.93515","22.95782","22.95782","22.43105","24.34979","22.43105","23.28264","22.31418"
"Syncrip","21.14218","20.81648","20.75624","21.10173","20.97205","20.81988","20.24274","20.29644","18.67487","19.97269","20.39386","22.87087","23.14783","23.16576","23.16576","23.13485","23.11948","21.10173","21.07721","20.87114","21.28949","21.32202","21.36460","21.08568","20.70014","21.27672","20.99555","20.81034","20.26775"
"Psmc2","21.45749","20.94534","21.42009","20.60075","21.38600","20.67281","20.68744","19.95233","20.50979","19.71599","19.49752","20.20545","21.80482","21.72312","21.24359","20.52636","20.54261","21.58472","21.69790","21.68038","21.71159","21.84371","21.63448","20.26067","19.18289","20.54805","18.94203","19.25783","18.43828"
"Trim2","18.11577","15.41528","17.38788","17.97749","17.77386","19.06240","15.61702","18.21323","16.96361","18.77768","16.94984","20.92297","20.30188","19.94403","19.38671","21.03201","19.89112","18.33303","18.74926","18.62344","16.46245","18.99729","16.43529","16.67249","17.20899","16.50828","17.35215","18.03745","17.73248"
"Vat1","21.51931","21.86021","22.00921","21.83092","21.28949","21.79070","21.60611","20.82518","20.81988","20.91788","20.72275","21.50033","21.02111","21.89741","22.13300","21.83766","21.80482","21.21292","21.66337","21.33497","21.62792","21.58472","21.56197","21.38114","21.23385","22.00020","21.49039","20.54261","21.34865"
"Dnm3","18.97252","17.82091","19.41838","18.76145","19.63692","18.70420","19.39672","19.06240","18.40417","19.36145","19.42548","17.46424","19.72870","19.44097","19.86546","17.45309","19.55690","20.05499","20.02441","20.12229","20.13926","19.91713","19.39672","18.32013","19.39160","16.50828","19.44097","19.39160","18.86029"
"Camk2d","17.86558","17.31758","17.16706","17.72762","18.96142","19.20034","18.84086","19.45601","20.46631","19.28949","20.53221","19.75600","19.58586","19.27701","19.41212","17.45309","19.36583","18.95016","18.78887","18.03745","19.59115","17.77908","19.25783","19.55690","16.98255","16.50828","18.72172","18.55409","18.68694"
"Psmc1","20.62623","20.69536","20.60075","20.85441","20.85824","21.00853","20.24945","21.09500","21.41194","18.66003","16.94984","19.87269","19.36908","17.44687","19.52938","20.84687","19.14731","20.58220","20.34071","21.02111","20.31997","20.24945","21.34865","20.66773","19.53740","21.34865","19.99079","20.12229","19.56662"
"Rps7","21.44549","21.56197","21.14218","23.66273","21.83766","21.03878","21.81556","21.27672","20.81648","21.62792","21.99434","26.00837","25.74516","25.74516","25.54147","25.41426","25.41426","20.71048","20.54805","20.79144","20.50021","21.06029","20.57240","21.21292","21.67073","22.99564","21.64754","22.57611","21.86988"
"Amph","20.21411","19.66818","19.47955","19.22649","20.26067","19.79600","20.47015","20.24274","18.57132","20.26067","19.30365","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.72878","20.81648","20.22436","20.07307","20.34071","19.78708","20.97205","20.46631","20.63155","21.83092","20.00493","19.55145"
"Fyn","21.74633","22.01899","22.29354","21.23385","22.00921","21.81556","21.83092","22.44004","19.46540","21.71159","22.87087","21.24359","21.88020","21.41194","19.55145","21.10173","20.40570","21.33497","21.36460","21.81556","21.11363","21.96829","20.87114","20.65909","18.93047","21.61410","21.32202","21.68038","21.12263"
"Glul","17.45041","18.09348","19.10213","18.22220","17.64582","17.89435","18.30926","18.82489","20.18880","19.32401","16.94984","20.39386","17.46424","19.91235","19.56846","20.26775","20.40094","20.81648","20.49576","20.86071","20.15570","20.71619","19.74390","23.01886","22.25656","23.24972","23.16576","22.71628","21.38600"
"Gpc2","21.23385","22.07044","21.50412","21.47962","22.11457","21.16617","20.31361","18.30278","22.09833","22.20564","21.30598","19.89634","17.46424","17.44687","17.47046","17.45309","19.97269","18.22220","18.77768","19.84037","18.88967","17.77386","19.11284","13.11983","18.81966","19.12482","17.97373","20.26466","20.74182"
"Igsf3","20.17711","21.26213","20.69536","21.00853","20.50021","22.10554","21.88752","22.31418","21.14218","21.00421","19.04437","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.87754","20.84687","20.53809","21.63448","21.55624","20.83714","19.94403","20.35308","20.64333","19.90260","20.97205","16.29927"
