"","GC_E18_2","GC_E18_3","GC_E18_4","GC_E18_5","GC_E18_6","GC_P0_1","GC_P0_2","GC_P0_3","GC_P0_4","GC_P0_5","GC_P0_6","GC_P3_1","GC_P3_2","GC_P3_3","GC_P3_4","GC_P3_5","GC_P3_6","GC_P6_1","GC_P6_2","GC_P6_3","GC_P6_4","GC_P6_5","GC_P6_6","GC_P9_1","GC_P9_2","GC_P9_3","GC_P9_4","GC_P9_5","GC_P9_6"
"Label","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9","P9"
"Srsf5","14.56489","18.75660","18.39184","18.72172","17.98982","17.83732","19.32958","20.03051","20.12624","18.80061","19.67490","21.31524","21.24909","20.59288","21.50033","21.30882","21.00853","19.03110","18.86029","18.54704","19.17914","18.46941","19.39160","16.43529","17.60980","16.50828","17.93033","16.45865","16.29927"
"Pitpna","17.32815","16.81860","17.12332","17.19547","18.40417","17.70735","17.86146","17.90849","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.04488","17.79467","16.49295","18.23041","17.69319","16.24347","18.04488","15.66163","20.09362","17.10787","16.45865","16.29927"
"Erc1","18.23329","17.17345","18.06865","16.76828","18.78887","20.49065","18.61941","19.17914","16.96361","17.07048","16.94984","17.46424","20.16970","20.46631","20.11454","20.19349","17.39907","18.50152","18.79453","18.57132","19.28540","18.73845","18.20691","17.85407","15.66163","20.11454","18.84679","16.45865","16.29927"
"C1qbp","14.564894","19.117860","19.444286","15.152258","15.760376","19.052960","19.743897","16.126067","22.786632","22.546994","21.851987","17.464240","20.749947","21.359936","21.060289","17.453089","21.504118"," 6.848008","14.470677","18.327930"," 6.848008","15.549022","18.738453","19.112837","19.143189","20.626234","20.082561","21.445493","22.141051"
"Ube2n","22.17499","21.75197","21.84371","20.73568","21.41515","22.39282","22.39282","22.00921","22.26593","21.95762","22.51319","20.77237","20.61073","20.35308","21.07166","20.38104","21.11363","21.79070","21.60611","21.68722","21.33497","21.27672","21.26213","21.30882","21.22057","22.02631","20.94028","20.29644","21.95762"
"Ewsr1","19.71599","19.56662","19.97269","19.56846","19.56846","19.34303","18.55409","20.23766","19.06779","17.07048","16.94984","20.58220","21.09500","21.88752","21.74633","21.79070","22.14105","20.10784","19.42548","19.08209","18.97553","19.81794","19.15404","19.33948","19.05296","20.30188","18.75660","16.45865","16.29927"
"Csnk2b","20.073067","19.850970","19.535035","19.811979","19.626101","18.749258","18.828230","19.722073","19.529381","17.070477","16.949836","17.464240","20.735676","19.938558","17.470465","21.122632","19.806054","18.068654","19.143189","19.084745"," 6.848008","18.346370"," 6.848008","18.398499","18.638599","19.200338","18.732947","16.458650","18.654151"
"Cox5a","19.77078","20.57240","19.50293","18.24837","20.38104","22.15594","22.03731","21.81556","20.90483","22.22069","23.23796","19.35749","19.63079","21.49039","21.54469","21.26863","21.18138","18.59954","17.87133","17.39907","18.23758","18.64565","17.56073","21.04641","21.65434","22.30250","20.70014","19.32401","22.64942"
"Atp6v1g2","14.56489","15.41528","15.49309","15.15226","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","19.68679","19.70043","19.70999","19.82317","16.34335","16.04214","16.68958","16.20924","16.94502","18.02534","18.23329","18.43828","16.50828","18.13098","16.45865","16.29927"
"Tagln3","18.46941","18.96696","17.79917","18.89321","19.87015","16.22936","17.67975","16.12607","16.96361","17.07048","16.94984","20.49065","20.07920","20.51988","20.61073","20.51988","20.81988","19.18629","19.21804","15.73504","17.31380","18.88364","18.23329","18.61941","17.15101","18.11577","19.84557","16.45865","16.29927"
