,MainAreac,MainAreas1,MainAreas2,MainAreas3,MainAreas4,MainAreas5,MainAreas6,MainAreas7,MainAreas8,MainAreas9,MainAreas10,MainAreas11,MainAreas12,MainAreas13,MainAreas14,MainAreas15,MainAreas16,MainAreas17,MainAreas18,MainAreas19,MainAreas20,MainAreas21,MainAreas22,MainAreas23,MainAreas24,MainAreas25,MainAreas26,MainAreas27,MainAreas28,MainAreas29
Label,E18,E18,E18,E18,E18,E18,P0,P0,P0,P0,P0,P0,P3,P3,P3,P3,P3,P3,P6,P6,P6,P6,P6,P6,P9,P9,P9,P9,P9,P9
LdMePE,27.83707628,27.61827284,27.38383513,27.61827284,27.38383513,27.61827284,28.0469332,28.0469332,29.32335287,29.32335287,29.01745183,29.01745183,29.32335287,29.66177219,29.32335287,29.32335287,29.32335287,29.32335287,29.66177219,29.66177219,29.32335287,29.66177219,29.66177219,29.66177219,29.32335287,29.01745183,29.32335287,29.32335287,29.32335287,29.32335287
MG,33.31790286,33.31790286,33.31790286,33.31790286,33.31790286,33.31790286,33.31790286,32.74761692,32.74761692,32.74761692,32.74761692,33.31790286,32.74761692,32.74761692,33.31790286,32.74761692,33.31790286,33.31790286,32.18875212,32.74761692,32.74761692,32.18875212,32.18875212,33.31790286,31.5039698,32.18875212,32.18875212,31.03763363,31.5039698,32.18875212
MGDG,27.52720697,27.52720697,27.52720697,27.52720697,27.52720697,28.0469332,27.38383513,27.38383513,27.61827284,27.52720697,27.61827284,27.61827284,27.52720697,27.38383513,27.38383513,27.61827284,28.0469332,27.61827284,27.61827284,27.52720697,27.38383513,27.38383513,27.61827284,28.0469332,28.0469332,28.0469332,28.0469332,27.61827284,27.61827284,28.0469332
MGMG,27.38383513,27.17610872,27.17610872,27.17610872,26.82428254,26.82428254,27.52720697,27.52720697,27.52720697,27.17610872,27.38383513,27.52720697,27.61827284,27.52720697,27.61827284,27.52720697,27.52720697,27.52720697,27.38383513,27.38383513,27.52720697,27.83707628,27.83707628,27.83707628,27.52720697,27.38383513,27.83707628,27.17610872,27.52720697,27.83707628
PA,26.32147963,26.32147963,26.82428254,26.82428254,26.32147963,26.32147963,27.17610872,27.17610872,27.38383513,27.38383513,27.52720697,27.38383513,26.82428254,28.0469332,28.0469332,27.83707628,27.61827284,27.83707628,27.83707628,27.83707628,27.61827284,27.52720697,27.52720697,27.61827284,26.32147963,26.82428254,27.17610872,26.82428254,26.82428254,27.61827284
PAF,23.75941091,21.47064695,21.47064695,22.87972335,23.75941091,23.75941091,24.7663057,25.24653761,25.24653761,24.7663057,24.7663057,24.7663057,25.73095107,25.73095107,25.24653761,25.24653761,23.75941091,25.73095107,25.24653761,24.7663057,25.73095107,25.73095107,25.73095107,25.73095107,25.24653761,24.7663057,24.7663057,25.73095107,25.73095107,24.7663057
PEt,31.5039698,31.5039698,31.5039698,31.5039698,31.5039698,31.29347253,32.18875212,31.5039698,31.29347253,31.5039698,32.18875212,32.18875212,31.29347253,31.29347253,31.29347253,31.03763363,31.5039698,31.5039698,31.29347253,31.5039698,31.5039698,31.29347253,31.5039698,31.29347253,30.63419128,30.63419128,29.66177219,30.63419128,30.63419128,29.66177219
PG,27.17610872,27.38383513,25.24653761,27.38383513,27.17610872,27.38383513,27.61827284,27.61827284,26.82428254,27.61827284,26.82428254,27.17610872,28.0469332,27.83707628,27.83707628,28.0469332,27.83707628,28.0469332,27.52720697,27.61827284,27.83707628,27.61827284,27.17610872,27.17610872,27.61827284,27.61827284,25.73095107,25.24653761,24.7663057,26.82428254
PI,32.18875212,32.74761692,32.74761692,32.74761692,32.18875212,32.18875212,31.5039698,32.18875212,32.18875212,32.18875212,31.29347253,31.29347253,32.18875212,32.18875212,32.18875212,32.18875212,32.18875212,32.18875212,32.74761692,32.18875212,32.18875212,32.74761692,32.74761692,32.18875212,32.74761692,32.74761692,32.74761692,32.18875212,32.18875212,32.74761692
PMe,31.03763363,31.03763363,31.03763363,31.03763363,31.03763363,31.03763363,31.29347253,31.29347253,31.5039698,31.29347253,31.5039698,31.5039698,31.03763363,31.03763363,31.03763363,30.63419128,31.03763363,31.03763363,31.03763363,31.29347253,31.29347253,31.03763363,31.03763363,31.5039698,29.66177219,29.66177219,30.63419128,29.66177219,29.66177219,30.63419128
PS,36.01530566,36.01530566,36.25886342,36.25886342,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566,36.01530566
SM,33.97203902,34.46148281,34.46148281,33.97203902,34.46148281,33.97203902,33.97203902,34.46148281,33.97203902,34.46148281,33.97203902,34.46148281,34.46148281,34.46148281,34.46148281,34.46148281,33.97203902,34.46148281,34.46148281,34.46148281,34.46148281,34.46148281,34.46148281,34.46148281,34.46148281,34.46148281,34.46148281,34.46148281,34.46148281,34.46148281
SQMG,19.05653431,19.75411396,19.05653431,19.75411396,19.75411396,19.75411396,21.47064695,21.47064695,21.47064695,21.47064695,21.47064695,21.47064695,21.47064695,21.47064695,21.47064695,21.47064695,21.47064695,21.47064695,21.47064695,19.75411396,21.47064695,21.47064695,21.47064695,21.47064695,22.87972335,23.75941091,23.75941091,23.75941091,22.87972335,22.87972335
So,26.82428254,25.73095107,27.83707628,26.32147963,27.61827284,27.52720697,26.32147963,26.82428254,26.32147963,26.32147963,25.73095107,26.32147963,25.24653761,25.24653761,24.7663057,24.7663057,25.24653761,24.7663057,23.75941091,23.75941091,23.75941091,22.87972335,23.75941091,25.24653761,23.75941091,22.87972335,22.87972335,22.87972335,23.75941091,23.75941091
ZyE,29.01745183,27.83707628,29.01745183,28.0469332,29.01745183,27.83707628,29.01745183,29.01745183,27.83707628,27.83707628,27.83707628,28.0469332,27.83707628,27.17610872,27.17610872,26.82428254,27.38383513,26.82428254,26.82428254,26.32147963,26.82428254,26.82428254,26.82428254,26.82428254,24.7663057,25.73095107,26.32147963,24.7663057,25.24653761,25.73095107
dMePE,31.29347253,31.29347253,31.29347253,31.29347253,31.29347253,31.5039698,31.03763363,30.63419128,31.03763363,31.03763363,31.03763363,31.03763363,31.5039698,31.5039698,31.5039698,31.5039698,31.29347253,31.29347253,31.5039698,31.03763363,31.03763363,31.5039698,30.63419128,31.03763363,31.29347253,31.03763363,31.03763363,31.5039698,31.03763363,31.03763363
